Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
abr-17;6,0 €/m2;0,40%;1,40%;6,80%
mar-17;6,0 €/m2;0,40%;1,90%;7,30%
feb-17;6,0 €/m2;0,70%;0,60%;8,40%
ene-17;5,9 €/m2;0,80%;-0,50%;8,60%
dic-16;5,9 €/m2;-0,90%;-0,90%;8,00%
nov-16;5,9 €/m2;-0,40%;0,50%;9,70%
oct-16;6,0 €/m2;0,40%;2,40%;10,70%
sep-16;5,9 €/m2;0,50%;3,40%;10,00%
ago-16;5,9 €/m2;1,40%;3,70%;10,30%
jul-16;5,8 €/m2;1,40%;3,40%;9,10%
jun-16;5,7 €/m2;0,90%;2,90%;8,40%
may-16;5,7 €/m2;1,10%;3,40%;7,80%
abr-16;5,6 €/m2;0,90%;3,10%;6,90%
mar-16;5,6 €/m2;1,40%;2,60%;6,90%
feb-16;5,5 €/m2;0,80%;1,70%;5,80%
ene-16;5,5 €/m2;0,30%;1,40%;4,90%
dic-15;5,4 €/m2;0,50%;0,80%;4,20%
nov-15;5,4 €/m2;0,50%;1,20%;3,00%
oct-15;5,4 €/m2;-0,20%;0,90%;2,80%
sep-15;5,4 €/m2;0,90%;1,90%;3,10%
ago-15;5,3 €/m2;0,30%;1,40%;2,00%
